CustomerID;CustomerName;BillToCustomerID;CustomerCategoryID;BuyingGroupID;PrimaryContactPersonID;AlternateContactPersonID;DeliveryMethodID;DeliveryCityID;CreditLimit;AccountOpenedDate;StandardDiscountPercentage;IsStatementSent;IsOnCreditHold;PaymentDays;PhoneNumber;WebsiteURL;DeliveryAddressLine;DeliveryLocationLat;DeliveryLocationLong
1;Tailspin Toys (Head Office);1;3;1;1001;1002;3;19586;NULL;01/01/2013;0.000;0;0;7;(308) 555-0100;http://www.tailspintoys.com;1877 Mittal Road;41,4972022;-102,6201979
2;Tailspin Toys (Sylvanite, MT);1;3;1;1003;1004;3;33475;NULL;01/01/2013;0.000;0;0;7;(406) 555-0100;http://www.tailspintoys.com/Sylvanite;705 Dita Lane;48,7163356;-115,8743507
3;Tailspin Toys (Peeples Valley, AZ);1;3;1;1005;1006;3;26483;NULL;01/01/2013;0.000;0;0;7;(480) 555-0100;http://www.tailspintoys.com/PeeplesValley;1970 Khandke Road;34,2689145;-112,7271223
4;Tailspin Toys (Medicine Lodge, KS);1;3;1;1007;1008;3;21692;NULL;01/01/2013;0.000;0;0;7;(316) 555-0100;http://www.tailspintoys.com/MedicineLodge;967 Riutta Boulevard;37,2811339;-98,580361
5;Tailspin Toys (Gasport, NY);1;3;1;1009;1010;3;12748;NULL;01/01/2013;0.000;0;0;7;(212) 555-0100;http://www.tailspintoys.com/Gasport;1674 Skujins Boulevard;43,1992244;-78,5761394
6;Tailspin Toys (Jessie, ND);1;3;1;1011;1012;3;17054;NULL;01/01/2013;0.000;0;0;7;(701) 555-0100;http://www.tailspintoys.com/Jessie;483 Raut Lane;47,542218;-98,2381519
7;Tailspin Toys (Frankewing, TN);1;3;1;1013;1014;3;12152;NULL;01/01/2013;0.000;0;0;7;(423) 555-0100;http://www.tailspintoys.com/Frankewing;904 Kellnerova Street;35,19258;-86,8511135
8;Tailspin Toys (Bow Mar, CO);1;3;1;1015;1016;3;3673;NULL;01/01/2013;0.000;0;0;7;(303) 555-0100;http://www.tailspintoys.com/BowMar;752 Shaker Doust Boulevard;39,628321;-105,0499841
9;Tailspin Toys (Netcong, NJ);1;3;1;1017;1018;3;23805;NULL;01/01/2013;0.000;0;0;7;(201) 555-0100;http://www.tailspintoys.com/Netcong;25 Kasesalu Street;40,8989877;-74,7065516
10;Tailspin Toys (Wimbledon, ND);1;3;1;1019;1020;3;37403;NULL;01/01/2013;0.000;0;0;7;(701) 555-0100;http://www.tailspintoys.com/Wimbledon;372 Joo Lane;47,1697143;-98,4598177
11;Tailspin Toys (Devault, PA);1;3;1;1021;1022;3;8987;NULL;01/01/2013;0.000;0;0;7;(215) 555-0100;http://www.tailspintoys.com/Devault;1432 Pullela Street;40,0745503;-75,5351981
12;Tailspin Toys (Biscay, MN);1;3;1;1023;1024;3;3081;NULL;01/01/2013;0.000;0;0;7;(218) 555-0100;http://www.tailspintoys.com/Biscay;413 Keskkula Lane;44,8274625;-94,2749801
13;Tailspin Toys (Stonefort, IL);1;3;1;1025;1026;3;32887;NULL;01/01/2013;0.000;0;0;7;(217) 555-0100;http://www.tailspintoys.com/Stonefort;1492 Shah Road;37,6142165;-88,7081133
14;Tailspin Toys (Long Meadow, MD);1;3;1;1027;1028;3;19908;NULL;01/01/2013;0.000;0;0;7;(240) 555-0100;http://www.tailspintoys.com/LongMeadow;151 Vasiljevic Road;39,6862063;-77,7122154
15;Tailspin Toys (Batson, TX);1;3;1;1029;1030;3;2111;NULL;01/01/2013;0.000;0;0;7;(210) 555-0100;http://www.tailspintoys.com/Batson;671 Mudigonda Boulevard;30,2493767;-94,6071417
16;Tailspin Toys (Coney Island, MO);1;3;1;1031;1032;3;7409;NULL;01/01/2013;0.000;0;0;7;(314) 555-0100;http://www.tailspintoys.com/ConeyIsland;27 Vidovic Boulevard;36,5931192;-93,3971299
17;Tailspin Toys (East Fultonham, OH);1;3;1;1033;1034;3;9791;NULL;01/01/2013;0.000;0;0;7;(216) 555-0100;http://www.tailspintoys.com/EastFultonham;224 Hinojosa Road;39,8500679;-82,1220868
18;Tailspin Toys (Goffstown, NH);1;3;1;1035;1036;3;13304;NULL;01/01/2013;0.000;0;0;7;(603) 555-0100;http://www.tailspintoys.com/Goffstown;1822 Gruber Lane;43,0203609;-71,600349
19;Tailspin Toys (Lemeta, AK);1;3;1;1037;1038;3;19124;NULL;01/01/2013;0.000;0;0;7;(907) 555-0100;http://www.tailspintoys.com/Lemeta;1507 Izmaylov Crescent;64,8597222;-147,7322222
20;Tailspin Toys (College Place, WA);1;3;1;1039;1040;3;7160;NULL;01/01/2013;0.000;0;0;7;(206) 555-0100;http://www.tailspintoys.com/CollegePlace;1536 Bhutia Avenue;46,0493026;-118,3883012
21;Tailspin Toys (Tresckow, PA);1;3;1;1041;1042;3;34403;NULL;01/01/2013;0.000;0;0;7;(215) 555-0100;http://www.tailspintoys.com/Tresckow;640 Chakraborty Street;40,9134194;-75,9665916
22;Tailspin Toys (Ward Ridge, FL);1;3;1;1043;1044;3;35844;NULL;01/01/2013;0.000;0;0;7;(239) 555-0100;http://www.tailspintoys.com/WardRidge;73 Berg Crescent;29,7885429;-85,2849181
23;Tailspin Toys (Ikatan, AK);1;3;1;1045;1046;3;16411;NULL;01/01/2013;0.000;0;0;7;(907) 555-0100;http://www.tailspintoys.com/Ikatan;1467 Chang Lane;54,75;-163,3083333
24;Tailspin Toys (Dundarrach, NC);1;3;1;1047;1048;3;9524;NULL;01/01/2013;0.000;0;0;7;(252) 555-0100;http://www.tailspintoys.com/Dundarrach;818 Paulet Avenue;34,9293315;-79,155033
25;Tailspin Toys (Avenal, CA);1;3;1;1049;1050;3;1604;NULL;01/01/2013;0.000;0;0;7;(209) 555-0100;http://www.tailspintoys.com/Avenal;1143 Caune Crescent;36,0041223;-120,1290272
26;Tailspin Toys (Hedrick, IA);1;3;1;1051;1052;3;15102;NULL;01/01/2013;0.000;0;0;7;(319) 555-0100;http://www.tailspintoys.com/Hedrick;1022 Folliero Street;41,1725134;-92,3087945
27;Tailspin Toys (Bowlus, MN);1;3;1;1053;1054;3;3707;NULL;01/01/2013;0.000;0;0;7;(218) 555-0100;http://www.tailspintoys.com/Bowlus;575 Pandit Crescent;45,8194098;-94,4094468
28;Tailspin Toys (North Ridge, NY);1;3;1;1055;1056;3;24700;NULL;01/01/2013;0.000;0;0;7;(212) 555-0100;http://www.tailspintoys.com/NorthRidge;890 Hlouskova Avenue;43,2125562;-78,8258709
29;Tailspin Toys (Eulaton, AL);1;3;1;1057;1058;3;10910;NULL;01/01/2013;0.000;0;0;7;(205) 555-0100;http://www.tailspintoys.com/Eulaton;1606 Ahmadian Road;33,6456587;-85,9124671
30;Tailspin Toys (Koontzville, WA);1;3;1;1059;1060;3;17999;NULL;01/01/2013;0.000;0;0;7;(206) 555-0100;http://www.tailspintoys.com/Koontzville;1907 Naicker Boulevard;48,0157092;-118,9472435
31;Tailspin Toys (Lake Stevens, WA);1;3;1;1061;1062;3;18460;NULL;01/01/2013;0.000;0;0;7;(206) 555-0100;http://www.tailspintoys.com/LakeStevens;1584 Hadrabova Street;48,015098;-122,0637425
32;Tailspin Toys (Maypearl, TX);1;3;1;1063;1064;3;21367;NULL;01/01/2013;0.000;0;0;7;(210) 555-0100;http://www.tailspintoys.com/Maypearl;1119 Friar Boulevard;32,3132003;-97,0116691
33;Tailspin Toys (Boyden Arbor, SC);1;3;1;1065;1066;3;3736;NULL;01/01/2013;0.000;0;0;7;(803) 555-0100;http://www.tailspintoys.com/BoydenArbor;799 Karnik Boulevard;34,0240436;-80,9456453
34;Tailspin Toys (Dallardsville, TX);1;3;1;1067;1068;3;8375;NULL;01/01/2013;0.000;0;0;7;(210) 555-0100;http://www.tailspintoys.com/Dallardsville;1734 Jovicevic Crescent;30,6285363;-94,6318698
35;Tailspin Toys (Slanesville, WV);1;3;1;1069;1070;3;31758;NULL;01/01/2013;0.000;0;0;7;(304) 555-0100;http://www.tailspintoys.com/Slanesville;1959 Sarma Road;39,3731537;-78,5227886
36;Tailspin Toys (Ekron, KY);1;3;1;1071;1072;3;10193;NULL;01/01/2013;0.000;0;0;7;(270) 555-0100;http://www.tailspintoys.com/Ekron;155 Goransson Lane;37,9292349;-86,1794145
37;Tailspin Toys (Kerby, OR);1;3;1;1073;1074;3;17591;NULL;01/01/2013;0.000;0;0;7;(458) 555-0100;http://www.tailspintoys.com/Kerby;339 Dwivedi Lane;42,1942798;-123,651735
38;Tailspin Toys (Airport Drive, MO);1;3;1;1075;1076;3;232;NULL;01/01/2013;0.000;0;0;7;(314) 555-0100;http://www.tailspintoys.com/AirportDrive;232 Abbasi Avenue;37,1425588;-94,5107824
39;Tailspin Toys (Diablock, KY);1;3;1;1077;1078;3;9040;NULL;01/01/2013;0.000;0;0;7;(270) 555-0100;http://www.tailspintoys.com/Diablock;282 Barajas Street;37,2284289;-83,1721162
40;Tailspin Toys (Impact, TX);1;3;1;1079;1080;3;16433;NULL;01/01/2013;0.000;0;0;7;(210) 555-0100;http://www.tailspintoys.com/Impact;760 Trung Crescent;32,4998459;-99,7459225
41;Tailspin Toys (Olivette, MO);1;3;1;1081;1082;3;25376;NULL;01/01/2013;0.000;0;0;7;(314) 555-0100;http://www.tailspintoys.com/Olivette;1638 Couet Street;38,6653297;-90,3759499
42;Tailspin Toys (Arietta, NY);1;3;1;1083;1084;3;1132;NULL;01/01/2013;0.000;0;0;7;(212) 555-0100;http://www.tailspintoys.com/Arietta;474 Tran Lane;43,246181;-74,5176433
43;Tailspin Toys (Upper Preston, WA);1;3;1;1085;1086;3;34910;NULL;01/01/2013;0.000;0;0;7;(206) 555-0100;http://www.tailspintoys.com/UpperPreston;980 Preda Crescent;47,5051019;-121,907615
